Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,"ограниченная Приозерским направлением ж.д., административной границей Санкт-Петербурга, береговой лини",Красногвардейский,133,11.03.2014,242.62,919
4. Постановление Правительства СПб. об утверждении,"квартал 2А района Шувалово-Озерки, ограниченный Суздальским пр., кварталом № 2, ул. Жени Егоровой и Вы",Выборгский,866,17.07.2007,3.3,3934
4. Постановление Правительства СПб. об утверждении,"территория юго-восточной части квартала 61 района нежилой зоны ""Ржевка"", ограниченного Ириновским пр.,",Красногвардейский,1004,14.08.2007,4,3935
4. Постановление Правительства СПб. об утверждении,"территория юго-восточной части кв. 19-Б нежилой зоны ""Ржевка"", ограниченная проездом между д.83 и д.85",Красногвардейский,406,10.04.2007,3.8,3936
4. Постановление Правительства СПб. об утверждении,"ограниченная Московским шоссе, берегововй линией р. Волковки, осью подъездного ж.-д. пути",Московский,1544,08.11.2011,2.9,3937
4. Постановление Правительства СПб. об утверждении,"18 и 18а района Лиговского пр., ограниченная Лиговским пр., Расстанной ул., Боровой ул. и полосой отво",Фрунзенский,1005,12.08.2008,11.9,3942
4. Постановление Правительства СПб. об утверждении,"территория северной части кв.1-2  н/з ""Парнас"", ограниченная 2-м, 5-м Верхними проездами и продолжение",Выборгский,1409,14.11.2006,2.4,3943
4. Постановление Правительства СПб. об утверждении,территория кварталов 75А и 78А района Каменка,Приморский,1318,09.10.2007,74.6,3946
4. Постановление Правительства СПб. об утверждении,"ограниченная проектным продолжением Балканской ул., рекой Волковкой, полосой отвода ж/д Витебского нап",Фрунзенский,434,16.04.2008,16.1,3949
4. Постановление Правительства СПб. об утверждении,"квартал 17Б, ограниченный Уткиным пр., пр.Энергетиков, Заневским пр., перспективным проездом между ква",Красногвардейский,1210,27.10.2009,6.1,3950
